"Año";"Periodo";"Renta bruta media per cápita"
"2013";"Año";"34.485"
"2014";"Año";"34.837"
"2015";"Año";"36.442"
"2016";"Año";"37.242"
"2017";"Año";"38.224"
"2018";"Año";"40.083"
"2019";"Año";"41.176"
;;
;;
"Métrica":"Renta bruta media per cápita"
"Fuente":"AEAT"
"Clasificación":""
"Unidad":"Euros de media per cápita"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/renta-bruta-media-euros/faffeb07-2da9-4354-b171-d698f3556609/madrid/4245"
"Titulo":"La renta bruta media de Madrid es de 41.176﻿ euros"
"Subtitulo":""
