Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2021;2.603,91
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2020;2.579,09
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2019;2.408,23
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2018;2.510,81
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2017;2.423,99
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2016;2.408,42
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2015;2.521,12
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2014;2.544,10
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2013;2.475,85
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2012;2.372,43
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2011;2.250,92
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2010;2.282,79
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2009;2.257,31
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2008;2.203,15
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2007;2.000,50
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2006;1.877,31
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2021;809,60
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2020;838,44
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2019;870,27
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2018;771,65
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2017;739,03
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2016;774,99
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2015;746,52
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2014;789,76
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2013;770,30
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2012;674,91
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2011;743,22
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2010;736,26
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2009;768,17
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2008;731,60
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2007;701,48
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2006;628,11
